Task,Embedder,Classifier,Word,n,Score,ci_lower,mean,ci_upper
subject_animacy,elmo,1024_1024_1024,chased,50,56.576,53.642487468671675,56.53999800460046,60.666666666666664
subject_animacy,elmo,1024_1024_1024,the_2,50,53.744,52.8,53.72248247104929,55.81276595744681
subject_animacy,elmo,1024_1024_1024,rat,50,53.704,52.8,53.61681614021292,55.625
subject_animacy,elmo,20_20_20,the_1,50,83.952,77.55973458235754,83.93077300214098,90.16666666666667
subject_animacy,elmo,20_20_20,cat,50,79.53,73.01945967741935,79.60173543535598,86.34239267676767
subject_animacy,elmo,20_20_20,chased,50,82.006,75.43090000000001,82.12307899224018,88.47350909090909
subject_animacy,elmo,20_20_20,the_2,50,81.084,74.05279411764705,81.06507706041634,87.58857804232804
subject_animacy,elmo,20_20_20,rat,50,77.086,70.68369047619048,77.07025921094095,83.19655737704917
subject_animacy,glove,1024,the_1,50,52.8,52.8,52.8,52.8
subject_animacy,glove,1024,cat,50,83.008,76.86190374331551,83.12527793433674,89.18462719298246
subject_animacy,glove,1024,chased,50,52.796,52.78723061084419,52.79612432698794,52.8
subject_animacy,glove,1024,the_2,50,52.8,52.8,52.8,52.8
subject_animacy,glove,1024,rat,50,52.952,52.84814814814815,52.95402534706353,53.11054093567251
subject_animacy,glove,1024_1024_1024,the_1,50,52.8,52.8,52.8,52.8
subject_animacy,glove,1024_1024_1024,cat,50,67.904,62.0543989769821,67.92888099348052,74.09048128342245
subject_animacy,glove,1024_1024_1024,chased,50,52.738,52.597826086956516,52.741885674329964,52.8
subject_animacy,glove,1024_1024_1024,the_2,50,52.8,52.8,52.8,52.8
subject_animacy,glove,1024_1024_1024,rat,50,52.879999999999995,52.8,52.87930738526575,53.07272727272727
subject_animacy,glove,20_20_20,the_1,50,52.8,52.8,52.8,52.8
subject_animacy,glove,20_20_20,cat,50,74.892,68.57881781524927,74.80624401284794,80.74697624362246
subject_animacy,glove,20_20_20,chased,50,51.705999999999996,51.170778914240756,51.706787484893404,52.174131313131305
subject_animacy,glove,20_20_20,the_2,50,52.8,52.8,52.8,52.8
subject_animacy,glove,20_20_20,rat,50,55.762,55.101620058873,55.77259670383922,56.4144474393531
subject_animacy,gpt,1024,the_1,50,52.8,52.8,52.8,52.8
subject_animacy,gpt,1024,cat,50,80.176,73.65361860465116,80.21548332326363,86.18656504065041
subject_animacy,gpt,1024,chased,50,82.886,76.6135822044335,82.77312787935846,88.57290872713415
subject_animacy,gpt,1024,the_2,50,77.65599999999999,71.37035625,77.7251543986244,84.05289772727272
subject_animacy,gpt,1024,rat,50,67.944,62.52020243902438,67.91208898844495,73.78456289027655
subject_animacy,gpt,1024_1024_1024,the_1,50,52.8,52.8,52.8,52.8
subject_animacy,gpt,1024_1024_1024,cat,50,68.724,63.01250980392157,68.58963494842492,74.89402659574468
subject_animacy,gpt,1024_1024_1024,chased,50,57.233999999999995,53.79936170212766,57.27910445696142,61.40375992063491
subject_animacy,gpt,1024_1024_1024,the_2,50,58.169999999999995,54.31993103448276,58.22167753037794,62.76993055555556
subject_animacy,gpt,1024_1024_1024,rat,50,53.61,52.8,53.593130927600484,55.5
subject_animacy,gpt,20_20_20,the_1,50,52.8,52.8,52.8,52.8
subject_animacy,gpt,20_20_20,cat,50,80.066,73.56941885964912,80.09292653908044,86.55824969400244
subject_animacy,gpt,20_20_20,chased,50,84.852,79.06889579107506,84.95560985229494,90.36901821862348
subject_animacy,gpt,20_20_20,the_2,50,80.112,74.06647381594148,80.14151372385092,85.50673913043478
subject_animacy,gpt,20_20_20,rat,50,80.812,75.60254464285714,80.8442513715135,85.658175
subject_gender,bert,1024,the_1,50,48.482,46.281086655592475,48.48642788676908,51.22294750158128
subject_gender,bert,1024,cat,50,54.398,49.42822368421053,54.32860317607904,59.73670892169448
subject_gender,bert,1024,chased,50,51.988,48.965400035014014,52.02835672847097,55.6145195652174
subject_gender,bert,1024,the_2,50,50.416000000000004,47.73866666666667,50.43552345998286,53.629045045045046
subject_gender,bert,1024,rat,50,49.18,46.411301767676775,49.26018858063314,52.57103260869565
subject_gender,bert,1024_1024_1024,the_1,50,46.160000000000004,45.6,46.1337995953641,47.38820536540241
subject_gender,bert,1024_1024_1024,cat,50,46.508,45.6,46.507292821309385,48.56251449275363
subject_gender,bert,1024_1024_1024,chased,50,46.044000000000004,45.6,46.06851254019237,47.14883720930233
subject_gender,bert,1024_1024_1024,the_2,50,46.118,45.6,46.12440372798495,47.32666666666667
subject_gender,bert,1024_1024_1024,rat,50,45.6,45.6,45.6,45.6
subject_gender,bert,20_20_20,the_1,50,61.116,57.223256658595645,61.11032704719991,64.91471428571428
subject_gender,bert,20_20_20,cat,50,78.07600000000001,71.81709937888198,78.07749736211899,84.25636595022624
subject_gender,bert,20_20_20,chased,50,59.722,55.91837755102041,59.706192273315004,63.15160526315789
subject_gender,bert,20_20_20,the_2,50,66.766,63.36233852755195,66.83278176891932,70.21638711734694
subject_gender,bert,20_20_20,rat,50,67.334,62.46600000000001,67.43997153201776,72.30052325581396
subject_gender,elmo,1024,the_1,50,45.6,45.6,45.6,45.6
subject_gender,elmo,1024,cat,50,64.584,59.09909090909091,64.70272581431678,70.44772983870968
subject_gender,elmo,1024,chased,50,55.222,49.74790064102564,55.257817238918555,61.06173076923077
subject_gender,elmo,1024,the_2,50,47.698,45.6,47.68335978849714,50.852000000000004
subject_gender,elmo,1024,rat,50,45.6,45.6,45.6,45.6
subject_gender,elmo,1024_1024_1024,the_1,50,45.6,45.6,45.6,45.6
subject_gender,elmo,1024_1024_1024,cat,50,46.454,45.6,46.4375016828376,48.447872881355934
subject_gender,elmo,1024_1024_1024,chased,50,47.772,45.6,47.661084746691145,50.92166666666667
subject_gender,elmo,1024_1024_1024,the_2,50,45.6,45.6,45.6,45.6
subject_gender,elmo,1024_1024_1024,rat,50,46.028,45.6,45.99664910242781,46.981020336605894
subject_gender,elmo,20_20_20,the_1,50,61.59,55.276878567721845,61.43777126777455,67.43214444444445
subject_gender,elmo,20_20_20,cat,50,66.468,60.914139282103136,66.46618749169636,72.03236985802694
subject_gender,elmo,20_20_20,chased,50,77.022,69.80798313492063,77.06703492914083,84.46758254716981
subject_gender,elmo,20_20_20,the_2,50,77.05,69.41616388532307,77.08371548461432,84.19364130434782
subject_gender,elmo,20_20_20,rat,50,52.094,50.29594491525423,52.07076189407536,53.77728609625668
subject_gender,glove,1024,the_1,50,45.6,45.6,45.6,45.6
subject_gender,glove,1024,cat,50,93.858,88.77936237373737,93.8458703666535,98.01665281329923
subject_gender,glove,1024,chased,50,45.6,45.6,45.6,45.6
subject_gender,glove,1024,the_2,50,45.6,45.6,45.6,45.6
subject_gender,glove,1024,rat,50,45.6,45.6,45.6,45.6
subject_gender,glove,1024_1024_1024,the_1,50,45.6,45.6,45.6,45.6
subject_gender,glove,1024_1024_1024,cat,50,71.27,63.59615716180372,71.20444306736573,78.81955705705707
subject_gender,glove,1024_1024_1024,chased,50,45.628,45.6,45.627902286146444,45.69130434782609
subject_gender,glove,1024_1024_1024,the_2,50,45.6,45.6,45.6,45.6
subject_gender,glove,1024_1024_1024,rat,50,45.6,45.6,45.6,45.6
subject_gender,glove,20_20_20,the_1,50,45.6,45.6,45.6,45.6
subject_gender,glove,20_20_20,cat,50,84.3,77.65190853204174,84.45892889115221,90.37793154761906
subject_gender,glove,20_20_20,chased,50,46.68,46.336527777777775,46.679868554301144,47.0619393939394
subject_gender,glove,20_20_20,the_2,50,45.6,45.6,45.6,45.6
subject_gender,glove,20_20_20,rat,50,46.436,45.87924528301887,46.432193772689615,47.04540094339623
