Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
animacy,BERT,1024_1024_1024,the_1,1,98.1,98.1,98.1,98.1,subject
animacy,BERT,1024_1024_1024,cat,5,99.9,99.9,99.9,99.9,subject
animacy,BERT,1024_1024_1024,chased,2,100,100,100,100,subject
animacy,BERT,1024_1024_1024,the_2,2,99.5,99.5,99.5,99.5,subject
animacy,BERT,20_20_20,the_1,29,99.22068965517241,99.0694391025641,99.22155499236423,99.34842741935483,subject
animacy,BERT,20_20_20,cat,31,99.86129032258064,99.79559420289854,99.86143759571804,99.9,subject
animacy,BERT,20_20_20,chased,30,99.99333333333334,99.98275862068965,99.9933030652984,100,subject
animacy,BERT,20_20_20,the_2,32,99.346875,99.31944444444444,99.34645885577463,99.37942647058823,subject
animacy,BERT,20_20_20,rat,35,97.95142857142856,97.78,97.95022714356115,98.11480119825707,subject
animacy,ELMo,1024,the_1,24,100,100,100,100,subject
animacy,ELMo,1024,cat,36,100,100,100,100,subject
animacy,ELMo,1024,chased,37,99.94054054054054,99.86666666666667,99.9387985728749,99.99666935483872,subject
animacy,ELMo,1024,the_2,20,99.935,99.85554166666667,99.9368584199587,99.99473684210527,subject
animacy,ELMo,1024,rat,8,90.2625,84.88455357142858,90.25325549742216,95.64488095238096,subject
animacy,ELMo,1024_1024_1024,the_1,9,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,cat,23,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,chased,4,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,the_2,1,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,rat,1,98,98,98,98,subject
animacy,ELMo,20_20_20,the_1,33,100,100,100,100,subject
animacy,ELMo,20_20_20,cat,29,98.88620689655173,98.07176416256158,98.89052871649842,99.57992647058823,subject
animacy,ELMo,20_20_20,chased,31,99.90645161290323,99.7705476673428,99.90643035671445,99.9958375,subject
animacy,ELMo,20_20_20,the_2,30,99.93666666666667,99.78844696969696,99.93521938651054,100,subject
animacy,ELMo,20_20_20,rat,28,96.16785714285714,94.30573529411765,96.10977631820498,97.67342307692307,subject
animacy,GLoVe,1024,the_1,50,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024,cat,50,83.008,76.4,82.87571109715886,89.1076923076923,subject
animacy,GLoVe,1024,chased,50,52.796,52.786879781420765,52.79609740033084,52.8,subject
animacy,GLoVe,1024,the_2,50,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024,rat,50,52.952,52.844160940803384,52.95474079300007,53.10368696397941,subject
animacy,GLoVe,1024_1024_1024,the_1,50,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024_1024_1024,cat,50,67.904,61.467198515769944,67.711106902475,74.25454545454545,subject
animacy,GLoVe,1024_1024_1024,chased,50,52.738,52.58967776901853,52.737778565878,52.8,subject
animacy,GLoVe,1024_1024_1024,the_2,50,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024_1024_1024,rat,50,52.879999999999995,52.8,52.87990732363434,53.072885835095136,subject
animacy,GLoVe,20_20_20,the_1,50,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,20_20_20,cat,50,74.892,68.23026315789473,74.8529852960764,81.35325724637681,subject
animacy,GLoVe,20_20_20,chased,50,51.705999999999996,51.10768292682926,51.698509484459,52.19519390243902,subject
animacy,GLoVe,20_20_20,the_2,50,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,20_20_20,rat,50,55.762,55.115173494983274,55.75319334580186,56.387379044684124,subject
animacy,GPT,1024,the_1,50,52.8,52.8,52.8,52.8,subject
animacy,GPT,1024,cat,29,100,100,100,100,subject
animacy,GPT,1024,chased,34,97.04411764705883,96.60270833333333,97.04336233485404,97.41509576901086,subject
animacy,GPT,1024,the_2,28,97.18571428571428,97.01903439153439,97.1871123285966,97.40486024844719,subject
animacy,GPT,1024,rat,19,92.51052631578948,92.01097222222221,92.511680438611,92.89445833333333,subject
animacy,GPT,1024_1024_1024,the_1,50,52.8,52.8,52.8,52.8,subject
animacy,GPT,1024_1024_1024,cat,17,100,100,100,100,subject
animacy,GPT,1024_1024_1024,chased,5,97.14,95.35,97.17058012270537,98.5,subject
animacy,GPT,1024_1024_1024,the_2,6,97.55,96.12312499999999,97.54458392753985,98.9,subject
animacy,GPT,1024_1024_1024,rat,1,93.3,93.3,93.3,93.3,subject
animacy,GPT,20_20_20,the_1,50,52.8,52.8,52.8,52.8,subject
animacy,GPT,20_20_20,cat,29,99.8103448275862,99.41071428571429,99.81152125541405,100,subject
animacy,GPT,20_20_20,chased,36,97.31666666666666,96.75714285714285,97.30580248969274,97.72731671554253,subject
animacy,GPT,20_20_20,the_2,31,96.85161290322581,95.51796626984127,96.83589815423612,97.8248388305847,subject
animacy,GPT,20_20_20,rat,36,91.70555555555556,91.17297435897436,91.7102615480085,92.09576086956521,subject
gender,BERT,1024,the_1,5,74.42,73.80000000000001,74.43303988041916,74.95,subject
gender,BERT,1024,cat,9,94.47777777777777,93.8621875,94.48028099078638,95.16666666666667,subject
gender,BERT,1024,chased,11,74.63636363636364,72.44477272727272,74.65241231240724,76.65,subject
gender,BERT,1024,the_2,8,75.5,74.56666666666668,75.52162567973026,76.5,subject
gender,BERT,1024,rat,5,81.4,80.63250000000001,81.37937603176965,81.92175,subject
gender,BERT,1024_1024_1024,the_1,1,73.6,73.6,73.6,73.6,subject
gender,BERT,1024_1024_1024,cat,1,91,91,91,91,subject
gender,BERT,1024_1024_1024,chased,1,67.8,67.8,67.8,67.8,subject
gender,BERT,1024_1024_1024,the_2,1,71.5,71.5,71.5,71.5,subject
gender,BERT,20_20_20,the_1,28,73.30714285714285,72.8626388888889,73.30025146109664,73.7624290060852,subject
gender,BERT,20_20_20,cat,34,93.35882352941177,92.14993055555557,93.3440273106509,94.03551782682513,subject
gender,BERT,20_20_20,chased,28,70.81785714285715,70.06288888888889,70.80849929494096,71.57924242424242,subject
gender,BERT,20_20_20,the_2,37,74.20270270270271,73.66147435897435,74.21783442299348,74.76202380952381,subject
gender,BERT,20_20_20,rat,30,81.82333333333334,81.3,81.84232412362802,82.36882591093116,subject
gender,ELMo,1024,cat,24,85.14999999999999,82.02385583524028,85.11470810975263,87.59569976076556,subject
gender,ELMo,1024,chased,9,99.05555555555556,98.51625,99.05077766584809,99.59092803030303,subject
gender,ELMo,1024,the_2,2,98.05000000000001,97.7,98.04800941619587,98.4,subject
gender,ELMo,1024_1024_1024,cat,1,88.3,88.3,88.3,88.3,subject
gender,ELMo,1024_1024_1024,chased,2,99.9,99.8,99.89962046745303,100,subject
gender,ELMo,1024_1024_1024,rat,1,67,67,67,67,subject
gender,ELMo,20_20_20,the_1,18,90.01666666666667,87.62688502673797,90.05651144545624,91.31057565789473,subject
gender,ELMo,20_20_20,cat,26,85.34615384615384,81.71473015873016,85.31353270202996,88.2913134057971,subject
gender,ELMo,20_20_20,chased,29,99.77586206896552,99.56666666666666,99.78116529648652,99.95791288566244,subject
gender,ELMo,20_20_20,the_2,29,99.82413793103449,99.71151785714285,99.82056033169971,99.91304347826087,subject
gender,ELMo,20_20_20,rat,6,62.11666666666667,60.85571428571429,62.131121389476455,63.74357142857143,subject
gender,GLoVe,1024,the_1,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024,cat,50,93.858,88.58716256648935,93.76567837372808,97.78704447632711,subject
gender,GLoVe,1024,chased,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024,the_2,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024,rat,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024_1024_1024,the_1,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024_1024_1024,cat,50,71.27,64.04030617823948,71.38612943349781,78.75236111111111,subject
gender,GLoVe,1024_1024_1024,chased,50,45.628,45.6,45.62750532342382,45.693386363636364,subject
gender,GLoVe,1024_1024_1024,the_2,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024_1024_1024,rat,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,20_20_20,the_1,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,20_20_20,cat,50,84.3,77.75858510638297,84.19026772073595,90.70465579710145,subject
gender,GLoVe,20_20_20,chased,50,46.68,46.31825130052021,46.684860861942305,47.06396791352093,subject
gender,GLoVe,20_20_20,the_2,50,45.6,45.6,45.6,45.6,subject
gender,GLoVe,20_20_20,rat,50,46.436,45.89072712418301,46.41966226276926,47.00033018867924,subject
gender,GPT,1024,the_1,50,45.6,45.6,45.6,45.6,subject
gender,GPT,1024,cat,14,100,100,100,100,subject
gender,GPT,1024,chased,19,99.91052631578947,99.76077639751553,99.9105550021177,100,subject
gender,GPT,1024,the_2,30,95.88,95.40619375,95.87894291225591,96.31925000000001,subject
gender,GPT,1024,rat,4,96.375,94.5,96.32669598289131,97.7,subject
gender,GPT,1024_1024_1024,the_1,50,45.6,45.6,45.6,45.6,subject
gender,GPT,1024_1024_1024,cat,1,100,100,100,100,subject
gender,GPT,1024_1024_1024,chased,4,99.725,98.9,99.72540215635308,100,subject
gender,GPT,1024_1024_1024,the_2,2,94.9,93.6,94.85553585368574,96.2,subject
gender,GPT,20_20_20,the_1,50,45.6,45.6,45.6,45.6,subject
gender,GPT,20_20_20,cat,35,99.04285714285714,97.43994186046511,99.05636193579669,100,subject
gender,GPT,20_20_20,chased,33,100,100,100,100,subject
gender,GPT,20_20_20,the_2,35,96.02571428571429,95.64088636363637,96.02793439580716,96.315625,subject
gender,GPT,20_20_20,rat,34,95.37058823529412,94.98852380952381,95.35774442787978,95.74324324324324,subject
number,BERT,1024,the_1,7,91.31428571428572,89.26952380952382,91.31472940432091,93.36666666666666,subject
number,BERT,1024,cat,31,98.31290322580645,97.90566176470588,98.31404355069827,98.73667592592592,subject
number,BERT,1024,chased,38,96.91052631578947,96.43430830792684,96.90504921714265,97.3979255319149,subject
number,BERT,1024,the_2,33,87.05151515151515,85.17811631944443,87.0127520454423,88.43737282229965,subject
number,BERT,1024,rat,10,89.19,87.38709821428571,89.19904696985076,90.95,subject
number,BERT,1024_1024_1024,the_1,1,92.9,92.9,92.9,92.9,subject
number,BERT,1024_1024_1024,cat,5,98.76,97.95,98.76602954509015,99.48549999999999,subject
number,BERT,1024_1024_1024,chased,2,97.8,97.8,97.8,97.8,subject
number,BERT,1024_1024_1024,the_2,2,91.69999999999999,90.3,91.7523294117647,93.1,subject
number,BERT,1024_1024_1024,rat,2,90.69999999999999,89.6,90.69540748776146,91.8,subject
number,BERT,20_20_20,the_1,28,93.26428571428572,93.01530000000001,93.26130485398009,93.46215185676394,subject
number,BERT,20_20_20,cat,31,98.80322580645161,98.62494318181818,98.80689486773889,98.95883442265794,subject
number,BERT,20_20_20,chased,30,97.50333333333333,97.15992857142857,97.50664242140144,97.80402777777778,subject
number,BERT,20_20_20,the_2,34,92.45588235294117,92.10232142857143,92.44935729538714,92.72382239382239,subject
number,BERT,20_20_20,rat,30,91.03,90.72711174242424,91.02173282294144,91.30811373873873,subject
number,ELMo,1024,the_1,23,100,100,100,100,subject
number,ELMo,1024,cat,44,100,100,100,100,subject
number,ELMo,1024,chased,12,99.025,98.64982142857143,99.02892521802217,99.3916826923077,subject
number,ELMo,1024,rat,1,93.2,93.2,93.2,93.2,subject
number,ELMo,1024_1024_1024,the_1,2,100,100,100,100,subject
number,ELMo,1024_1024_1024,cat,12,100,100,100,100,subject
number,ELMo,1024_1024_1024,chased,2,99.9,99.9,99.9,99.9,subject
number,ELMo,1024_1024_1024,the_2,1,94.2,94.2,94.2,94.2,subject
number,ELMo,1024_1024_1024,rat,1,91.4,91.4,91.4,91.4,subject
number,ELMo,20_20_20,the_1,27,100,100,100,100,subject
number,ELMo,20_20_20,cat,30,100,100,100,100,subject
number,ELMo,20_20_20,chased,36,99.80277777777778,99.67726948051947,99.80514870281465,99.92164926289927,subject
number,ELMo,20_20_20,the_2,26,96.65384615384616,96.36754838709678,96.64692129910516,96.87084821428572,subject
number,ELMo,20_20_20,rat,30,92.61666666666667,92.31094202898552,92.61771377171605,92.88622914349277,subject
number,GLoVe,1024,the_1,50,47,47,47,47,subject
number,GLoVe,1024,cat,50,97.78,94.375,97.76205084356424,100,subject
number,GLoVe,1024,chased,50,47.016,47,47.015856266944375,47.053333333333335,subject
number,GLoVe,1024,the_2,50,47,47,47,47,subject
number,GLoVe,1024,rat,50,47.014,47,47.01413590408369,47.03333333333333,subject
number,GLoVe,1024_1024_1024,the_1,50,47,47,47,47,subject
number,GLoVe,1024_1024_1024,cat,50,74.134,67.0817232142857,74.28456289784957,81.2570261627907,subject
number,GLoVe,1024_1024_1024,chased,50,47.042,47,47.04205076976415,47.146533047735616,subject
number,GLoVe,1024_1024_1024,the_2,50,47,47,47,47,subject
