Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
gender,GPT,20_20_20,cat,29,98.85862068965517,97.39655172413794,98.82919914700955,100,subject
gender,GPT,20_20_20,chased,37,95.32432432432432,95.14331060606061,95.32498166312793,95.50515625,subject
gender,GPT,20_20_20,the_2,34,94.29117647058824,93.98996153846154,94.29823690112431,94.60312121212122,subject
gender,GPT,20_20_20,rat,35,96.83428571428571,96.70226744186046,96.83627979435029,96.97580808080808,subject
number,BERT,1024,the_1,8,92.85,90.44084821428571,92.83049711435623,95.066875,subject
number,BERT,1024,cat,29,99.84137931034483,99.775975,99.84107288581406,99.90689655172415,subject
number,BERT,1024,chased,19,94.32105263157895,93.48219887955183,94.31585226895535,95.17797619047619,subject
number,BERT,1024,the_2,18,92.44444444444444,91.475,92.44508922091116,93.507,subject
number,BERT,1024,rat,5,92.54,91.45,92.52891420882311,93.85541666666666,subject
number,BERT,1024_1024_1024,cat,3,99.76666666666667,99.7,99.76624295551554,99.8,subject
number,BERT,1024_1024_1024,chased,3,96,95.7,95.99507531328321,96.3,subject
number,BERT,1024_1024_1024,the_2,2,93.6,92.4,93.63405061224489,94.8,subject
number,BERT,20_20_20,the_1,33,94.16969696969697,93.7703611111111,94.1601984502718,94.53169225146199,subject
number,BERT,20_20_20,cat,33,99.89393939393939,99.85674408783784,99.89496407548629,99.93,subject
number,BERT,20_20_20,chased,31,96.57741935483871,96.36922413793103,96.57702921359065,96.75221571906354,subject
number,BERT,20_20_20,the_2,32,93.721875,93.55286764705882,93.72412473131111,93.86431650246305,subject
number,BERT,20_20_20,rat,32,93.14375,92.94373733108107,93.14445604606682,93.36062316715542,subject
number,ELMo,1024,the_1,29,100,100,100,100,subject
number,ELMo,1024,cat,39,100,100,100,100,subject
number,ELMo,1024,chased,15,97.29333333333334,96.38212745098038,97.30316311656168,98.25628205128206,subject
number,ELMo,1024,the_2,3,95.2,94.8,95.19801830846134,95.6,subject
number,ELMo,1024,rat,2,87.19999999999999,85.8,87.18279114165712,88.6,subject
number,ELMo,1024_1024_1024,the_1,8,100,100,100,100,subject
number,ELMo,1024_1024_1024,cat,25,100,100,100,100,subject
number,ELMo,1024_1024_1024,chased,1,98.3,98.3,98.3,98.3,subject
number,ELMo,1024_1024_1024,the_2,1,93.9,93.9,93.9,93.9,subject
number,ELMo,20_20_20,the_1,30,100,100,100,100,subject
number,ELMo,20_20_20,cat,30,100,100,100,100,subject
number,ELMo,20_20_20,chased,36,99.39166666666667,99.2,99.39565857024209,99.54286904761905,subject
number,ELMo,20_20_20,the_2,22,93.48181818181818,92.89979166666667,93.47326958432615,93.96666666666667,subject
number,ELMo,20_20_20,rat,26,87.74230769230769,87.23333333333333,87.75044540689697,88.3348076923077,subject
number,GLoVe,1024,the_1,51,45.5,45.5,45.5,45.5,subject
number,GLoVe,1024,cat,51,98.93137254901961,96.28193049682875,98.83817538730604,100,subject
number,GLoVe,1024,chased,51,45.48627450980392,45.45333333333333,45.48693846333154,45.5,subject
number,GLoVe,1024,the_2,51,45.5,45.5,45.5,45.5,subject
number,GLoVe,1024,rat,51,45.5,45.5,45.5,45.5,subject
number,GLoVe,1024_1024_1024,the_1,51,45.5,45.5,45.5,45.5,subject
number,GLoVe,1024_1024_1024,cat,51,79.13921568627451,71.94959525939178,79.21768151287853,86.38542452830188,subject
number,GLoVe,1024_1024_1024,chased,51,45.56078431372549,45.5,45.55966751609966,45.666689189189185,subject
number,GLoVe,1024_1024_1024,the_2,51,45.5,45.5,45.5,45.5,subject
number,GLoVe,1024_1024_1024,rat,51,45.52549019607843,45.5,45.525893210611876,45.586666666666666,subject
number,GLoVe,20_20_20,the_1,51,45.5,45.5,45.5,45.5,subject
number,GLoVe,20_20_20,cat,51,81.92745098039215,75.08100892857144,81.96707440023908,89.09479498164015,subject
number,GLoVe,20_20_20,chased,51,47.51960784313726,46.98289772727273,47.521429545844015,48.06905612244898,subject
number,GLoVe,20_20_20,the_2,51,45.5,45.5,45.5,45.5,subject
number,GLoVe,20_20_20,rat,51,46.92156862745098,46.52599728260869,46.91628596846129,47.32392543859649,subject
number,GPT,1024,the_1,51,45.5,45.5,45.5,45.5,subject
number,GPT,1024,cat,33,80.33333333333333,79.11914874551971,80.35533022724731,81.43944527736133,subject
