Task,Encoder,Classifier,Word,n,Accuracy,ci_lower,mean,ci_upper
verb,GPT,1024_1024_1024,the_1,50,2.962,2.750933422549348,2.9672711389453417,3.1762764550264553
verb,GPT,1024_1024_1024,chased,49,31.16530612244898,28.336649659863948,31.277464332954207,34.441449468085104
verb,GPT,1024_1024_1024,the_2,50,44.85,41.97107142857143,44.790416631272386,47.84859659090909
verb,GPT,1024_1024_1024,rat,43,36.77906976744186,32.924375,36.827765543625155,40.53918604651163
verb,GPT,20_20_20,the_1,50,3.2760000000000002,3.09316359348199,3.2759892712259853,3.4456149885583525
verb,GPT,20_20_20,chased,50,56.594,54.24365300375469,56.57376780592856,58.78369186046511
verb,GPT,20_20_20,the_2,50,63.502,61.09674232158988,63.438708980365206,65.96677678571429
verb,GPT,20_20_20,rat,50,54.144,52.15966279069768,54.12445211627689,55.95809322033898
object,GLoVe,1024,the_1,50,3.275,3.2127149321266972,3.2759621803841683,3.356253324468085
object,GLoVe,1024,lawyers,50,26.624,25.251903698979593,26.605767691896848,27.91467995169082
object,GLoVe,1024,questioned,50,3.769,3.6841441322021913,3.7689359438191015,3.857976270053476
object,GLoVe,1024,the_2,50,3.319,3.2317269736842102,3.320857173269496,3.4176523109243697
object,GLoVe,1024,judge,50,27.78,26.386104910714284,27.780297501854083,29.098580729166667
object,GLoVe,1024_1024_1024,the_1,50,3.6149999999999998,3.5170124113475176,3.6161185193755245,3.7198524305555556
object,GLoVe,1024_1024_1024,lawyers,50,25.309,22.132268602540837,25.320247171346566,28.714181914893615
object,GLoVe,1024_1024_1024,questioned,50,3.531,3.434368799603175,3.5296006454479287,3.6271174568965514
object,GLoVe,1024_1024_1024,the_2,50,3.753,3.6266359649122806,3.7501247036048264,3.868293699186992
object,GLoVe,1024_1024_1024,judge,50,22.55,18.65048154701719,22.523465436650696,26.169126851851853
object,GLoVe,20_20_20,the_1,50,3.62,3.540176753393665,3.6193659918098313,3.715398936170213
object,GLoVe,20_20_20,lawyers,50,27.552,26.46310101010101,27.573933918111617,28.6824893314367
object,GLoVe,20_20_20,questioned,50,3.469,3.3802153805496826,3.469594394001549,3.5675992063492066
object,GLoVe,20_20_20,the_2,50,3.655,3.5658276874435413,3.654956771085159,3.745496753246753
object,GLoVe,20_20_20,judge,50,28.108,26.814988535736877,28.10797821616788,29.46633123791102
subject,GLoVe,1024,the_1,52,3.3596153846153847,3.2524630102040817,3.359095503513073,3.4603639846743293
subject,GLoVe,1024,lawyers,52,53.521153846153844,51.508141001855286,53.51914049974699,55.27422198275862
subject,GLoVe,1024,questioned,51,2.925490196078431,2.795048668032787,2.926033936746646,3.057142857142857
subject,GLoVe,1024,the_2,51,3.3823529411764706,3.279543997668998,3.3844030857577483,3.4875063775510204
subject,GLoVe,1024,judge,51,2.7627450980392156,2.638385416666667,2.7628710532746044,2.883717049319728
subject,GLoVe,1024_1024_1024,the_1,52,3.5557692307692306,3.462491554054054,3.553065107908068,3.6381632653061224
subject,GLoVe,1024_1024_1024,lawyers,52,53.70576923076923,51.126645256916994,53.76365132400775,56.4409430682312
subject,GLoVe,1024_1024_1024,questioned,51,3.227450980392157,3.1206903945111493,3.2276266030270477,3.344450354609929
subject,GLoVe,1024_1024_1024,the_2,51,3.649019607843137,3.54650624461671,3.650258861352127,3.7434888653234357
subject,GLoVe,1024_1024_1024,judge,51,2.8901960784313725,2.769464763603925,2.8946732372364856,3.0200555555555555
subject,GLoVe,20_20_20,the_1,52,3.723076923076923,3.6818039772727276,3.7227902118484084,3.759585106382979
subject,GLoVe,20_20_20,lawyers,52,52.68269230769231,50.23392065602837,52.668377933958105,54.63854038461538
subject,GLoVe,20_20_20,questioned,52,3.3211538461538463,3.174465240641711,3.3189658069650863,3.463049023957409
subject,GLoVe,20_20_20,the_2,51,3.592156862745098,3.5178551587301583,3.5907363478711543,3.659625
subject,GLoVe,20_20_20,judge,51,3.092156862745098,2.948957025117739,3.095586658788837,3.241524390243902
verb,GLoVe,1024,the_1,50,3.3113333333333332,3.278013829787234,3.311424215458473,3.345681315644002
verb,GLoVe,1024,lawyers,50,19.343333333333334,18.46797474747475,19.339359885137227,20.203210702341135
verb,GLoVe,1024,questioned,50,19.749333333333333,19.020936447811447,19.76315395158802,20.507352124183004
verb,GLoVe,1024,the_2,50,3.2913333333333332,3.2499926900584795,3.2905070248742874,3.3244006428436377
verb,GLoVe,1024,judge,50,19.507333333333335,18.583063725490195,19.520888014263317,20.408496189243603
verb,GLoVe,1024_1024_1024,the_1,50,3.46,3.344217317361727,3.459585720304975,3.5709346504559276
verb,GLoVe,1024_1024_1024,lawyers,50,17.351333333333333,15.478076648841354,17.348621416336986,19.160465835198806
verb,GLoVe,1024_1024_1024,questioned,50,21.024,20.154244360902254,21.020450888989554,21.889601449275364
verb,GLoVe,1024_1024_1024,the_2,50,3.406,3.2947367707655606,3.4055155836471127,3.5008908045977014
verb,GLoVe,1024_1024_1024,judge,50,19.375333333333334,17.56653100775194,19.37858628920892,21.102162765957445
verb,GLoVe,20_20_20,the_1,50,3.3633333333333333,3.2431750841750837,3.3641376769675655,3.4711388888888894
verb,GLoVe,20_20_20,lawyers,50,20.520666666666667,19.747420634920633,20.542077411915873,21.31467803030303
verb,GLoVe,20_20_20,questioned,50,20.106,19.150619893790847,20.113825601555455,20.969391025641023
verb,GLoVe,20_20_20,the_2,50,3.31,3.1973583877995644,3.3117473288677144,3.4298798894557825
verb,GLoVe,20_20_20,judge,50,20.235333333333333,19.28869281045752,20.253451611255425,21.218645833333333
